company,location,title,job_desc,role
Lotus systems,"Collegeville, PA",Data scientist (NLP),NLP models: 3 years (Required)Python programming: 4 years (Required)HuggingFace : 1 year (Required)Temporarily due to COVID-19,data scientist
Cimpress/Vistaprint,"Waltham, MA",Principal Data Scientist,"
Engage with partners to advise on analytical project requirements, discuss methodologies and collaborate on work you're doing.
Learn, practice, and lead others to use new tools in an inspiring technical environment that combines both coding skills, web technologies and real-time data.
Analyze pre-existing models and algorithms; suggest how to improve the efficiency and effectiveness, to drive value to the organization
Deliver a range of custom Data Science projects that may include Recommendation Systems, Price Optimization; Time Series Modeling; Customer Lifetime Value Customer, Propensity Modeling); Image Recognition; The list goes on.
Be a thought leader within the Data Science team, knowing the latest trends and technologiesPhD in Statistics, Mathematics, Operational Research or similar field
Extensive machine learning and modeling experience, and have delivered multiple projects as a lead scientist or in a similar capacity
Strong programming skills in Python and R
Hands-on experience using “big data technologies”
Experience using standard libraries (scikit-learn, MLlib, TensorFlow, MXNet, PyMC3)
Experience of software engineering techniques including version control, continuous integration, unit testing.
Proven ability to independently communicate technical and statistical concepts to non-practitioners within the business, and influence the application.
Experience of designing and building DS products for ecommerce like recommendation systems, forecasts, Customer Lifetime Value Models, etc.
Spark, Java, Scala
Bayesian Statistics
Agile working methodology",data scientist
Apple,"Seattle, WA","AI/ML - Machine Learning Engineer, Machine Intelligence","
Proficient in Python
Expertise in working with at least one deep learning framework, for example, PyTorch, Torch, TensorFlow, Caffe
Working knowledge of C/C++
Machine learning courses or equivalent practical machine learning experience",data scientist
CarMax,"Richmond, VA",Data Scientist/Data Engineer - Pricing & Inventory Systems,NA,data scientist
The University of Pittsburgh,"Pittsburgh, PA",Data Scientist,NA,data scientist
Huxley,"Boston, MA",Consumer Labs Data Scientist,"M.S. or PhD in related discipline (Engineering, Mathematics, Physics, Statistics, or Computer Science)2+ years’ experience in data science, especially in big data and consumer behaviourExperience in end to end algorithm development, from data mining to statistical analysis on resultsPassion for improving privacy and security in our customers’ livesAbility to explain complex concepts and problems to a non-technical audienceStrong collaboration and communication skillsdata science: 2 years (Required)hadoop: 1 year (Preferred)BonusesOne locationMonday to FridayTemporarily due to COVID-19",data scientist
Pathrise,Remote,Machine Learning Engineer Entry Level - Pathrise Recruiting Partners,"
0-3 years in machine learning
Excellent communication skills, ability to understand customer needs and provide valuable recommendations
Strong Python and SQL skills
Able to effectively synthesize, visualize, and communicate your ideas to others
Familiar with key data engineering concepts
Experience with data visualization
Being involved with product discussions about high impact features
Help with various data analysis and modeling projects projects
Creating data visualizations for use in both internal and external capacities
Using data to inform decisions made by product, engineering, and design teams",data scientist
Microsoft,"Austin, TX",Senior Data & Applied Scientist,"
Developing and deploying solutions with some of Microsoft’s largest customers for solving business problems using machine (deep) learning and predictive modeling techniques.
End-to-end execution of the data science process: from understanding business requirements, data discovery and extraction, model development and evaluation, to production pipeline implementation.
Providing technical subject matter expertise in OSS and Microsoft AI and Data technologies, ranging from helping our product teams understand our gaps, through to navigating our customers to the right technology choices for their business.
2+ years of real-world experience with machine learning algorithms for classification, regression, clustering, reinforcement learning, dimensionality reduction with expertise one or more application domains of NLP, image processing, time series analysis including some knowledge of the concepts of taking projects to scale in the cloud.
Fluency in English
Skilled in Python, experience with Pandas, Scikit-learn.
Experience with agile development practices and Git version control.
Experience with one or more of the DNN frameworks like TensorFlow, PyTorch, Chainer.
Experience with Spark, SQL, Graph stores, or NoSQL stores.
Domain expertise in one or more of financial services, retail, marketing, health care, manufacturing.
Ability to communicate in business and technical settings.
Enjoy travel and comfortable with regional travel up to 20%
MS or PhD in Computer Science, EE, Statistics, Operations Research or equivalent technical field.
",data scientist
Microsoft,"Redmond, WA",Data & Applied Scientist,"
Experience with EDA, Inference analysis, Predictive analysis (Regression, Classification etc.,) and forecasting.
Ability to thrive in ""start-up"" environment, deal with ambiguity and drive clarity.
Excellent oral and written communication skills and presentation skills
Good understanding of predictive analytics process from data validation to model assessment, stability, and deployment monitoring
Experience with Experiment Design and analysis is a plus.
Graduate degree in Computer Science, Data Science, Artificial Intelligence, Machine Learning, Mathematics, Electrical Engineering, or an equivalent technical field
1+ years of relevant software experience with software development, data science/analytics or data modelling
Experience with at least one high-level programming language: Python, R, C#, Java, C/C++",data scientist
MORSE Corp,"Cambridge, MA",Data Scientist,NA,data scientist
InsideTracker,"Cambridge, MA",Data Scientist (Part-time),"Available to work part-time (15+ hours a week) during the school year of 2019-20 and full-time during the summer of 2020
Bachelor’s degree in computer science, statistics, applied mathematics, bioinformatics, or a related discipline
Proficiency with model building pipeline, including data wrangling, machine learning model development, and model evaluation
Knowledge of statistics, including basic hypothesis testing, outliers detection, regression results interpretation
Located in the Greater Boston areaAnalyze data for trends and patterns, and interpret data with a clear objective in mind
Build machine learning models
Select and apply appropriate mathematical tools, write the code to implement your solution
Communicate analytic results to team members without statistical backgrounds
Work with physiological (heart rate, steps, sleep), blood and DNA data and detect outliers and optimal zonesProficiency with R or Python, including popular packages (tidyverse, caret, pandas, tensorflow, etc.)
Comfortable working with modern software engineering tools, including the command line, version control, and writing tests
Master’s degree in computer science, stats, applied math, bioinformatics, or a related discipline
2+ years of data science experience (including personal projects on GitHub)
Knowledge or interest in biology",data scientist
Cleveland Clinic,"Cleveland, OH",Data Scientist I,"
Gathers requirements and program model development under direction of other Data Scientists to inform problem formulation.
Generates relevant outputs based on specific computational pipelines, including graphical representation of quality control and downstream data.
Troubleshoots problems associated with the project design and/or computational pipelines
Participates in model building.
Utilizes methods particularly in the areas of modeling, Artificial Intelligence (AI), Machine Learning (ML), Deep Learning (DL), Natural Language Processing (NLP) and experience designing/implementing solutions.
Provides insight and recommendations to solve business problem and help inform business decisions.
Documents best practices and solution frameworks. Replicates and scales solutions to projects with common/similar scientific questions
Uses expertise in defining (with internal lab members) the challenge that needs to be solved, conducting the analysis/modeling/experiment and then providing the “answer” in a clear and scientifically friendly manner for our lab members to discuss and take actionable steps.
Other duties as assigned.
Bachelor’s Degree in Statistician, Actuarial Science, Econometrics, Physics, Biostatistics, Computer Science, Applied Mathematics, Engineering, Business Analytics, Economics, Finance or related field required. Degree in Genetics/Genomics, Biomedical Informatics preferred.
Master’s or PhD preferred.
Excellent written, verbal, and presentation skills in English and ability to explain the value of Machine Learning (ML) and Artificial Intelligence (AI) to business leaders required.
Certification or fellowship in analytics, big data, data science or related subject preferred.
Technology partner certification (in technology, Big data, advanced analytics, data science) – Microsoft, Oracle, Teradata, IBM, EMC, Cloudera, Hortonworks, Informatica, Tableau, SAS, R, Python preferred.
Requires critical thinking skills, decisive judgment and the ability to work unsupervised or with minimal supervision.
Must be able to work in a stressful environment and take appropriate action.
A strong business-orientation, able to select the appropriate complex quantitative methodologies in response to specific business goals.
Demonstrated team, leadership, organizational, and problem solving abilities.
A minimum of 18 months of related experience working with relational databases and/or distributed computing platforms, and their query interfaces, such as SQL, Teradata, MapReduce, PIG, and Hive required.
Offset: Master’s degree and no relevant experience.
Healthcare or life science experience preferred.
Knowledge and experience working with and optimising -omics/NGS data pipelines (e.g. whole-exome/genome sequencing, RNA-seq, GWAS, metabolomics) preferred.
Ability to integrate multi-omics and clinical data preferred.
Basic knowledge and implementation of statistical and machine learning concepts as pertinent to big data analysis (e.g., ANOVA, mixed models, machine learning algorithms such as SVM, Random Forest, PCA, etc.) is a plus.
Experience working with a variety of statistical languages/packages, e.g., SAS, R, Python, Spark, and/or SPSS required.
Ability to troubleshoot problems associated with the project design and/or computational pipelines preferred.
Knowledge applying advanced statistics to complex business problems required (e.g., modeling, AI, ML, Deep Learning [DL], and/or Natural Language Processing [NLP]).
Familiarity with additional programming languages, including Python, Java, or C/C++.
Experience leveraging visualization software and techniques and business intelligence (BI) software.
Technical knowledge of distributed computing platforms, and common data process flows from data instrumentation & generation, to ETL, to the data warehouse itself.
Demonstrated leadership qualities, including presentation, influencing and negotiation.Manual dexterity to operate office equipment.
May require periods of sitting, standing and the ability to walk to various locations throughout the Foundation to attend meetings.
Must have normal or correction vision and ability to clearly communicate verbally by phone or in person.
Follows standard precautions using personal protective equipment as required.",data scientist
Mohawk Industries,"Kennesaw, GA",DATA SCIENTIST I,"Participates in technical design sessions providing input on best practices
Documents and maintains best practices, project standards, procedures, application, quality objectives and “lessons learned”; ensures that applications systems are developed in a way that complies with architectural/development standards and established methodologies and practices.
Participates on project teams serving as an IT technical expert on strategic long-range and highly complex projects that focus on a single business unit.
Performs other duties as required
Candidates will need to have worked on 1-2 silos within multiple end-to-end BI implementations.
1 – 2 years Hands-on experience in statistical modeling/data science practice and has worked on at least a few real-life data science projects
Hands-on experience in using one of the statistical packages like R, D3, SAS, SPSS, etc.
1 – 2 years hands-on experience in SQL and Stored Procedure development
Hands-on experience in Big Data development like Hive, SparkSQL, Sqoop, Python, R, Shell scripting, etc. will be a plus
Hands-on experience working on Big Data technologies like Hadoop, Google BigQuery, AWS, Azure will be a big plus
1 year Hands-on experience in traditional ETL development and design
Experience with data modeling will be a plus (Star, 3 rd Normal form, BW schema)
Experience with at least one of the BI tools like Tableau, BusinessObjects, PowerBI, etc.
Excellent verbal and written communications skills as well as customer service skills
Availability for occasional travel based on client and project needs
Excellent oral, written, presentation and interpersonal communications skills; ability to effectively exercise tact, discretion, judgment and diplomacy when interacting and/or negotiating with internal and external customers
Ability to present and explain technical information in a way that establishes rapport persuades others, and gains understanding
Ability and willingness to accept responsibility, willingness to challenge established practices and draw relevant conclusions, including the persistence and willingness to take calculated risk, to stimulate, market and sell new ideas within the organization.
Ability to work effectively in a diverse work group, to achieve results through team efforts, and the desire and ability to motivate, persuade and direct the activities of others.
Ability to contributes to concept development, and ability to identify, analyze and resolve business issues through solution-oriented projects
Ability to perform in a high pressure environment and/or crisis situation and render good decisions to resolve the problems, maintain safety and ensure adherence to Corporate Code of Conduct.
",data scientist
1-800-Flowers,"New York, NY",Junior Data Scientist,NA,data scientist
Liberty Mutual Insurance,"Boston, MA","Analyst II, Data Science","Collaborate with business partners to develop predictive analytic solutions that enable data-driven strategic decision making
Utilize current and emerging data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop models to predict the likelihood of a future outcome and to optimize business solutions
Research and develop predictive analytic tools
Leverage knowledge to create/design solutions for business needs
Mine large data sets using sophisticated analytical techniques to generate insights and inform business decisions
Identify and test hypotheses, ensuring statistical significance, and building predictive models for business application
Translate quantitative analyses and findings into accessible visuals for non-technical audiences, providing a clear view into interpreting the data
Enable the business to make clear tradeoffs between and among choices, with a reasonable view into likely outcomes
Customize analytic solutions to specific client needs
Responsible for larger components of projects of moderate to high complexity
Guide aspects of project design as a technical consultant for the team
Regularly engage with the data science community and participate in cross functional working groups
Travel required up to 10%
The position requires a Master’s degree, or foreign equivalent, in Statistics, Mathematics, or a related field PLUS two (2) years of experience in the job offered or a related field. Alternatively, the employer will also accept Ph.D. degree, or foreign equivalent, in Statistics, Mathematics, or a related field. The position also requires experience with each of the following:
Predictive analytic techniques and statistical diagnostics of models
Predictive toolset to include SAS, SQL, R, and Python
Providing clear and concise communication of technical and statistical work to technical and non-technical audiences
Demonstrable knowledge of sophisticated analytics techniques and ability to manipulate large structured and unstructured data sets in order to generate insights to inform business decisions
Demonstrable ability to identify and tests hypotheses, ensuring statistical significance, as part of building and developing predictive models for business application
Demonstrable ability to translate quantitative analyses and findings into accessible visuals for nontechnical audiences, providing a clear view into interpreting the data
Demonstrable ability to enable the business to make clear trade-offs between and among modeling choices with a reasonable view into likely outcomes
Demonstrable ability to customize analytic solutions to specific client needs
Demonstrable ability to engage with the data science community and participate in cross-functional working groups
Travel required up to 10%.",data scientist
CarMax,"Richmond, VA",Data Scientist/Data Engineer - Pricing & Inventory Systems,NA,data scientist
Stealth Mode Startup,"Seattle, WA","CEO, Data Scientist","Thorough understanding of the DAaaS business modelDesigning and implementing data strategies and systemsLead, motivate, and manage technical teamsOversee the collection, storage, management, quality, and protection of dataImplement data privacy policies and ensure compliance with data protection regulationsProvide SME support to consulting clients including education, guidance, and execution of DAaaSKnowledge of relevant applications, big data solutions, and toolsBachelor's Degree in Data Science, Information Technology or related fieldMaster's Degree preferred5 to 10 years' experience in a senior-level data management roleManagement experienceStrong leadership and communication skillsProject management skillsAnalytically mindedProfessionalism and ethical behaviorData Science: 5 years (Preferred)Management: 3 years (Preferred)Master's (Preferred)United States (Required)Fully RemoteHealth insuranceDental insuranceVision insuranceRetirement planPaid time offWork from homeFlexible scheduleParental leaveProfessional development assistanceMonday to FridayWaiting period may applyYes",data scientist
Humana,"Boston, MA",Senior Data Scientist,"
Bachelor's Degree in a quantitative discipline, such as Computer Science, Mathematics or Statistics and/or related field and 5 years or experience OR Master's Degree in a similar field and 3 years of experience
3-5 years of professional experience leveraging large sets of structured and unstructured data to develop tactical and strategic insights
Experience developing and validating statistical forecasting models and tools
Experience interpreting and communicating analytic results to analytical and non-analytical business partners and executive decision makers
Experience driving resources, approach, and tactical operations for projects and initiatives involving own departmental area
Clear oral and written communication skills
Flexible, dynamic personality who is able to work independently
Must be passionate about contributing to an organization focused on continuously improving consumer experiences
Work experience in a health care and/or Insurance setting
Demonstrated experience in time series, signal processing, and AI techniques on continuous time signals (i.e. disease progression, customer churn, financial forecasting)
Experience with cloud-based ecosystems (Azure, GCP, AWS)
Experience in Big Data environment specifically SQL, PySpark and DataBricks
Previously applied machine learning to help a firm reach objectives",data scientist
GEICO,"Chevy Chase, MD",Data Scientist,"Bachelor’s degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc. Advanced degree strongly preferred
2+ years of combined academic/industry experience with predictive modeling, machine learning, advanced analytics
Solid understanding and experience with advanced statistics and modern machine learning predictive techniques such as GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, etc.
Strong coding skills using common data science tools, such as Python (strongly preferred), R, Linux/Unix command line and shell scripting, etc.
Strong skills in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Familiarity with distributed storage and big data computing technology (AWS, Hadoop, Spark, etc.)
Excellent communication skills
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes401(k) and profit-sharing plansMedical, dental, vision and life insurancePaid vacation, holidays and leave programsTuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dressFitness and dining facilities (at most locations)Associate clubs and sports teamsVolunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.",data scientist
Stanley Black & Decker,"Towson, MD",Data Scientist,"
Lead various ad-hoc requests for customer insights from start to finish by interpreting the business needs of the request, translating those needs into time efficient analysis planning, presenting insights in a consumable fashion and influencing leadership to action based on the findings
Leverages statistical software to build predictive models
Provide thought leadership on best practices related to in-store and e-commerce measurement and testing, customer profile elements, and database models
Must prioritize requests and efforts that provide proactive insights and identifying areas in which analytics efforts can add the most value
Manage internal partners within our marketing and IT departments
Work under minimal supervision and exercise discretion and independent judgement in the performance of assigned duties
Build and maintain relationships with analytic groups and other cross-functional teams within Black and Decker to improve management of business strategies
Understanding of how digital marketing works / marketing ecosystem
Familiarity with the different digital marketing media, including PPC, display, social, Amazon advertising, DART, and SEO along with their associated metrics
Experience in using APIs to pull data from service providers / platforms
Advanced degree (MS/PhD) in a relevant technical field (e.g., Computer Science, Mathematics, Applied Mathematics, Statistics, Operations Research, Industrial Engineering, Econometrics) with 3+ years’ experience in related data science, analytics, and model building roles
Experience working with large complex data sets, real time/near real time analytics, and distributed big data platforms (Hadoop & MapReduce and/or Cassandra/Spark)
Strong knowledge of analysis tools such as Python, R, MATLAB, Spark or SAS. R/Spark on Hadoop or Cassandra preferred.
Strong background in applying statistical techniques to customer, digital marketing, sentiment and social analytics
Proficiency in programming in Python, R, SQL, JavaScript, Java/Scala/Ruby and shell scripting
Proficiency in consuming REST based API (with JSON payload) is a plus.
Fluency in big data platforms including Hadoop, MapReduce, Hive, Spark, PIG
Familiarity with Cloud based HaaS/PaaS solutions such as AWS EMR, MS Azure.
A strong understanding of data profiling and data cleansing techniques
Natural curiosity and a strong passion for empirical research and problem solving
Depth in relevant field(s) for data science, including:
Customer Analytics
Digital Marketing Analytics
Search Engine Optimization
Social Analytics
Sentiment Analytics
Customer Analytics
Digital Marketing Analytics
Search Engine Optimization
Social Analytics
Sentiment Analytics
Understanding Business Problems
Data Wrangling & Exploration
Problem Solving Mindset
Clear Communication
Technical Fluency",data scientist
Tredence Inc.,"Seattle, WA",Data Scientist / Data Analytics,"Lead and manage independently the onsite-offshore relation, at the same time adding value to the client.Engage with clients and business partners to understand their requirement, identify their challenges.Provide clear business context and deliver actionable insights and recommendations, by designing analytical solutions and frameworks, in collaboration with the off-shore team in India.Put together a solution architecture that is scalable, reusable, efficient and effectivePresent results, insights and recommendations to senior management with an emphasis on the “now what”, i.e. business impact.Build engaging rapport with client leadership through relevant conversations and genuine business recommendations that impact the growth and profitability of the organization.Build and grow the organization through pre-sales, operations and training enablement.Strong business skills, strong SQL, customer/marketing analytics experience.SQL - Advanced HIVE SQL (incl. window functions, advanced aggregations etc)Python Scripting (re-usable classes, functions)Statistics – In addition to what we current have also add - understanding of test /control analysis, confidence intervals, bootstrapAbility to research and manipulate complex and large data sets (both distributed and non-distributed)Ability to solve complex business problem through a blend of logical and creative thinking – mental ambidexterityStrong communication skills with excellent ability to synthesize complex informationWorking experience in retail, e-commerce, merchandising, marketing will be an added advantage bachelor’s in engineering, or Masters in Statistics / Economics / Business AdministrationData analytics: 3 years (Preferred)Bachelor's (Preferred)Other forms",data scientist
MORSE Corp,"Cambridge, MA",Data Scientist,NA,data scientist
The University of Pittsburgh,"Pittsburgh, PA",Data Scientist,NA,data scientist
Abiomed,"Danvers, MA",Data Scientist,"
Responsible for end-to-end development of machine learning algorithms
Design new statistical and physiological features for time series data
Evaluate algorithm performance in offline (in silico) and live (in vitro, in vivo) environments
Collaborate with software teams to implement algorithms on embedded hardware
Maintain concise descriptions of algorithm design specifications and performance evaluations
Perform variability analyses for model optimization
Quantitatively and qualitatively evaluate new ML/AI techniques and integrate into algorithm design
Communicate algorithm designs and performance results to cross-functional stakeholders
Attend scientific conferences and act as a data science ambassador for the organization
MS in computer science, data science, or equivalent technical field; or BS + 2 years of experience.
Demonstrated capability in machine learning techniques (e.g. classification, regression, clustering, sequence generation, forecasting, reinforcement learning, Markov modeling, or Bayesian statistics)
Proficient in Python. Experience in one or more development packages such as Sklearn, Keras/Tensorflow, PyTorch, or Theano
Experience in one or more distributed computing tools, such as Hadoop or Spark
Willing to travel 5-10% of the time to meet with customers to gather user needs and assess product performance, and attend scientific conferences
APIs & cloud computing platforms (Microsoft Azure or AWS)
Embedded software (C/C++ or equivalent)
Medical devices and electronic health record data
Superb communication and collaboration skills – comfortable operating within and outside a core team and presenting progress to company leadership
Demonstrated excellence of analytical thinking in one or more technical fields
Self-motivated and good team player
Willing to learn and explore new technologies
Independent, efficient, and able to manage several concurrent projects",data scientist
"K12, Inc.",Remote,"Intern, Data Science","About us
K12 Produces Results
Kudos and Honors
thinkTANK12
Performs data manipulation, analysis, and presentation
Executes academic or competitive research and analysis as needed
Collaborates with teammates as well as other parts of the organization to complete assigned tasks
Learns and applies pedagogical and production best practices in course development
Participates in team meetings
Delivers final presentation to the team and possibly other interested parties at the end of the internship
Pursues deep understanding of raw data gathered and a patience for cataloguing and interpreting it with accuracy
Creates and prepares various content, presentations, and materials as needed
Executes tasks by utilizing various technologies and platforms specific to the business
Provides additional support to the team as needed
High School Diploma OR
Currently pursuing a BS/BA or MS/MA degree in Education, Literature, Math, History, or Sciences degree OR
Equivalent combination of education and experienceStrong analytical, written and verbal communication skills
Excellent collaboration skills
Observational and listening skills
Self-motivated
Excellent problem-solving and execution skills
Detail-oriented and organizational skills
Passionate about creating well-designed products for education
Ability to listen effectively, respect others’ perspectives and contributions, and offer and accept constructive feedback
Microsoft Office (Outlook, Word, Excel, PowerPoint, Project, Visio, etc.); Web proficiency.
Ability to clear required background checkProficient in Office 365, online tools & utilities (e.g. Jira, SharePoint)",data scientist
The Zebra,"Austin, TX",Data Scientist,"
Collaborate with business stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions
Mine and analyze data from analytics databases to drive optimization and improvement of commercialization tactics, agency operations, marketing techniques, product team planning and other business strategies through advanced forecasting and statistical methodology
Assess the effectiveness and accuracy of new data sources and data gathering techniques
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes
Consult and guide team members on A/B testing best practices and test model quality
Coordinate with different functional teams to implement models and monitor outcomes
Develop processes and tools to monitor and analyze model performance and data accuracy (confidence intervals, accuracy rates, etc.)
Write maintainable, clean model code using best practices from software engineering where applicable
Translate complex analytical results into insights to drive business development, and communicate them throughout the organization
Bachelor’s degree in a quantitative field, or equivalent applied professional experience
2-5+ years experience as a data scientist, decision scientist, data analyst, data engineer or other adjacent roles
Experience manipulating data sets and building statistical models
Solid mathematical foundation and knowledge of a variety of statistical methods (e.g. regression, classification, clustering, experimental design, advanced forecasting)
Strong proficiency in SQL and either Python or R
Strong proficiency in data visualization
Excellent written and verbal communication skills for coordinating across teams
A drive to learn and master new technologies and techniques
MS or PhD with quantitative focus or relevant applied research/experience
Experience with modern software engineering workflows and best practices (e.g. writing reproducible code, Git)
Experience as a data scientist or analyst in a product driven ecommerce company and collaborating with business leaders
Familiarity with research design / experimental methods (i.e. solid understanding of confounding, sources of bias in data, methods to infer causality, etc.)
Competitive Compensation & Stock Option Offering
Health, Dental, Vision & Disability Coverages
HSA offering + employer contribution
Unlimited PTO + flexibility to enjoy it
Paid Parental Leave Program
Commuter Benefits (up to $100/month)Wellness perk ($100/month)
Learning & Development Stipends
Onsite Full Service Barista
Wednesday Catered Lunch + Fully Stocked Fridges
Opportunity to join Employee Resource Groups (ERGs) or drive our diversity & inclusion stance by creating your own
Join a team that truly lives their values, and values their lives (outside of the office. Cliche, we know… but we really mean it)",data scientist
iSeeCars.com,"Woburn, MA",Data Scientist,"Analyze large volume of automotive content data and user behavioral dataDevelop predictive models and techniquesEngineer and set up the necessary technical process to implement the modelsIdentify new ideas for tools to better help iSeeCars usersCreative technical problem solver and practical-minded software engineerStrong background in statisticsDeep background (academic or industry experience) in adapting statistical and machine learning techniques and technologies for practical applications.Experience with creation and implementation of statistical models using programming languages and statistical software.MS/PhD or equivalent industry experience in Computer Science or related discipline with a specialization in Machine Learning or Data MiningExpert experience with the latest AI, machine learning, data mining, and network science algorithmsExperience with RapidMiner/Weka, R, Java/Hadoop",data scientist
Biogen,"Cambridge, MA","Scientist I/II, Next Generation Sequencing Data Analyst","
Hands-on experience with analysis of both short and long read sequencing data (e.g., Illumina, PacBio, Nanopore) for mutation analysis, genome mapping, expression profiling
Hands-on experience with bulk RNAseq, DNA-seq, scRNA-seq, and microRNA-seq data analysis
Extensive experience developing NGS analysis workﬂows in Bash, R, and Python
 Advanced programming experience on JavaScript, R-Shiny and web-based application
Experience in genomics data visualization tools
Solid knowledge of statistics and machine learning
Experience in network/pathway mapping and integration of orthogonal omics data sets
Understanding of sequencing protocols and applications
Demonstrated ability to work collaboratively within cross-functional teams
Excellent interpersonal and communication skills; proven ability to work eﬀectively within a team
Experience in virology or viral gene therapy is considered a plus",data scientist
"Amazon Web Services, Inc.","Boston, MA",Data Scientist - Nationwide Opportunities,"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experienceExperience with ML fields, e.g., natural language processing, computer vision, statistical learning theory4+ years of industry experience in predictive modeling, data science, and analysisExperience in an ML engineer or data scientist role building ML modelsExperience writing code in Python, R, Scala, Java, C++ with documentation for reproducibilityExperience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop modelsExperience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentationsAssist customers by being able to deliver a ML project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models with concept-drift monitoring and retraining to deliver business impact to the organizationUse AWS AI services (e.g., Personalize), ML platforms (SageMaker), and frameworks (e.g., MXNet, TensorFlow, PyTorch, SparkML, scikit-learn) to help our customers build ML modelsResearch and implement novel ML approaches, including hardware optimizations on platforms such as AWS InferentiaWork with our other Professional Services consultants (Big Data, IoT, HPC) to analyze, extract, normalize, and label relevant data, and with our Professional Services engineers to operationalize customers’ models after they are prototypedMater’s degree of PhD in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.)Ability to develop strategic, baselined, data modeling processes; ability to accurately determine cause-and-effect relationships.Publications or presentations in recognized ML journals or conferencesDeep technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organizationDemonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment",data scientist
Onduo,"Newton, MA",Data Scientist/Sr Data Scientist,"Represent the data and analytics department and engage with Onduo leadership team, sales, marketing, coaching, clinical, product and finance teams to understand Onduo business model, operations and workflow, business plan and objectives.Lead and manage other key data and analytic staff to coordinate the validity and reliability of data delivered from source systems, through transformation and integration into the analytics platformWork collaboratively with Verily staff to build and enhance data and analytic solutions provisioned in the Google cloud environment.Identify key independent and dependent variables needed to properly test given hypotheses.Identify the appropriate statistical methodologies given the nature of the data available, known caveats and other constraints to validly produce results.Work independently to achieve results and communicate progress and status with Onduo leadership especially in both clinical and data and analytics.Provide appropriate documentation of design, methodology, data and results in appropriate data science logs to allow for reproduction by 3rd parties.Provide written results tailored for professional presentations and participate in research submissions to journals where appropriatePossess 3-5 years as a significant contributor to a data and analytic team with the lead in research and statisticsPossess 3-5 years with subject matter expertise in the health sciences with preferred experience working with biometrics data, clinical data, survey data, behavior change data.Possess evidence of rigorous research and journal published resultsHave 3-5 years with a proven track record of presenting to internal leadership and client support/operational teams as well as in external sales or client meetings.Minimum of Undergraduate and preferred advanced degree or equivalent in Health Sciences, Public Health, etc.Must be willing to get trained on use of Onduo’s customer support systems as well as complete annual compliance training requirements per company policy",data scientist
Advanced IT Labs Inc.,"Orlando, FL",Data Scientist,Fully RemoteNoneOutcome-oriented -- results-focused with strong performance culturePeople-oriented -- supportive and fairness-focusedMonday to Fridaywww.advanceditlabs.comYes,data scientist
